,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
214,214,4,craignewman,2023-02-28 21:43:56+00:00,64,4,6,1,10331.0,"Bag of trash, filled with bullshit. 

Arizona, come get your garbage. https://t.co/3Yxd5a410t",2
215,215,5,ChiefHoodlums_,2023-02-28 16:54:05+00:00,444,83,3,1,13450.0,"Khosi said in the spirit of kindness week she wants to trash her issues with people but you all are making it abt strategy and game. Some of you have dark hearts tbh kmt.
 VOTE KHOSI! #BBTitans",2
217,217,7,GathererSkull,2023-02-28 18:27:13+00:00,1641,98,21,18,48428.0,"Whites do not associate with white trailer trash, most go out of their way to differentiate from them

Black Americans as a group do literally the opposite

You do not see normal white people listening to music about making and selling meth or stealing catalytic converters",0
218,218,8,TheButt94936728,2023-02-28 23:49:37+00:00,265,5,5,0,4418.0,"@JoJoFromJerz Is she saying she secretly submitted an absentee ballot for her ex so she can make those claims of fraud? Sounds like it to me. 😉 

I can believe she talked to the man like that. She respects no one. Trash with power is nauseating.",2
220,220,10,Aanchal_Sengar,2023-02-28 14:18:01+00:00,74,12,2,4,3697.0,Bots are so dvmb using screenshots from random sites with no explanation 😂 kareena and saif were not involved it was Dhoot's company which came under fire. Read properly aunty if you want more proof. They were not called at ED office like Trash. see more scams done by Aishwarya https://t.co/x5bZ8c5cVC,2
222,222,12,trash_marsupial,2023-02-28 20:43:02+00:00,54,5,3,0,1043.0,I like to imagine this beepo is infact eyeless and just a snout with teeth that nibbles things,2
224,224,14,WingsScotland,2023-02-28 18:35:05+00:00,89,4,11,0,6724.0,"@HModinraven Yeah, but they don't want to live in the catastrophic binfire of a Scotland he'd oversee. Forbes is no threat to the Union, but also won't trash the whole country with her incompetent boobery.",2
226,226,16,MAGAMichelleS69,2023-02-28 21:25:00+00:00,211,12,36,1,2266.0,"@harryjsisson Oh MAGA is trash? Tell me, what is so wrong with wanting to make America great?  We all live here so what’s the issue?  Huh @harryjsisson",2
227,227,17,silenc306,2023-02-28 21:09:11+00:00,512,5,6,1,35178.0,"@SimpleSCOTUS Dumpster diving is legal across the US along with any other trash things, as long as there isn’t a lock or something and it’s public property (The side of the road is public property)",2
231,231,21,DiggzDaProphecy,2023-02-28 20:14:09+00:00,64,12,2,2,2398.0,"Another thing is also please learn how to communicate. This goes for editors, artists, producers, etc because mfs are trash at this as well. Most of yall be complaining nobody wants to commission/collab with you or purchase any beats. Yet u don't even answer ur dms or emails.",2
239,239,29,noctuababy,2023-02-28 22:21:18+00:00,148,11,4,0,2935.0,"im crying bc how are you gonna complain about needing a ""safe place"" to trash someone's fic, i can't with how entitled ppl are 

""but your fic is public, you should accept it'll be criticized!"" ok. the bookmark is public, you should accept it'll be criticized! :)",2
244,244,34,lorigraceaz,2023-02-28 20:35:38+00:00,80,10,9,4,2742.0,"My work sucks.
That's the feeling we all struggle with.  Especially when you see others attain levels of success that most don't.  Then you have platforms that are exclusive and leave you out. Plus the market is trash. 
None of that matters. Stay bullish. 
My work doesn't suck. https://t.co/rwIx94c8mA",2
245,245,35,torontobaghead,2023-02-28 22:23:17+00:00,53,4,14,2,5999.0,"Dubas sold out, plain and simple.
He tried winning in the playoffs with a roster of ballerinas to the tune of four, consecutive first-round exits.

Now,  with his job on the line, he's tossed the calculator in the trash and is attempting to join Team Bag Head.
#LeafsForever",2
255,255,45,platt_patrich,2023-02-28 23:21:58+00:00,227,5,42,0,19048.0,"@EdKrassen @SpeakerMcCarthy Sure that’s what ESG’s will do for the investor. I’m sure of it.  Take that nonsense along with all it encompasses and chunk it in the trash bin.  Climate change is a farce,  governance means giving up one’s individual rights, and we all know what the s part means. How much were…",2
267,267,57,wrong_speak,2023-02-28 19:26:13+00:00,95,6,1,0,3026.0,"They inundate themselves with trash click bait garbage on a daily basis to convince themselves that it's more abundant than it actually might be. They take on the role of the victim, which was the very thing they criticized the woke for cultivating in our society.",2
268,268,58,festive2018,2023-02-28 19:44:45+00:00,221,2,31,0,18892.0,"@ACTBrigitte My parents paid 260k for my sister and I to get an Ivy education with zero help. Nothing against student loan forgiveness but lets make those grabbing this handout work on weekends cleaning trash on highways, parks and maybe around the houses of those who paid for their education",2
273,273,63,Arisupilled,2023-02-28 15:54:52+00:00,50,0,1,1,2230.0,"@Azhdaya__ Happened once in college. So many stepped over it like trash, roasties gave it a wide berth. I buried with my bare hands",2
276,276,66,qikkit,2023-02-28 19:39:59+00:00,88,4,3,0,1906.0,"@ask_aubry If anyone actually believed this, they'd never question why single life is so attractive?

Why on earth would we absorb someone else's life trash when we could just be dealing with our own in peace?

The expectation is breathtaking. https://t.co/nC66uzwRmQ",2
279,279,69,87zooLemons,2023-02-28 19:24:34+00:00,132,0,1,0,9051.0,"@ItsMeBeff_ Agree with the Pads and would add the amount of trash created to the -'s.
However, Tampons are felt. You will absolutely bleed everywhere if you cannot find one that fits properly. And they gave me yeast infections  every month.

Using a menstrual cup has been a game changer!!!",2
282,282,72,charlesadler,2023-02-28 17:59:07+00:00,114,23,4,0,5688.0,Total Trash. Only in  a world where political figures suck up to the dumb and dumber can this propaganda have legs. Why consult those inside the system when a government appointee can vomit up a politically biased message with zero credibility?,2
287,287,77,IrateMaxwell,2023-02-28 20:14:53+00:00,79,0,0,0,2143.0,@punishedFShater Trust the character of anyone with facial tattoos more than someone who listens to her trash podcast,2
291,291,81,DarknWindie,2023-02-28 17:57:25+00:00,57,3,1,0,1348.0,"It's just tired, stupid, and often over exaggerated. Like we can always guarantee now that whenever Pokemon comes out with new Pokemon or new anything and it doesn't follow people's very specific guidelines, it's 'trash'.",2
294,294,84,SocialNomadRach,2023-02-28 19:21:54+00:00,64,3,5,0,1777.0,"Middle and upper class white people do not like so called ""trailer trash"". They refuse to associate with them. Its that simple.",0
301,301,0,Savi_yoi,2023-02-27 04:29:12+00:00,2877,350,10,2,33789.0,Eddie when he fuckin gets u! https://t.co/DGUsjojjuX,1
302,302,1,_naydaaa,2023-02-27 03:10:38+00:00,64,42,2,2,7457.0,if u fuckin him just fuck him stop checking for me ho!!!!,1
303,303,2,paradisepetal,2023-02-27 13:35:36+00:00,52,4,0,0,935.0,GET IN MY POCKET SINCE U WANNA ACT ALL FUCKIN POCKET SIZED!!! GET IN!!! https://t.co/6ivfspNwSs,1
306,306,5,ithinkineverwas,2023-02-28 05:21:58+00:00,62,2,1,0,6339.0,when he says u must be kevin hart holding a lightbulb if u think we fuckin https://t.co/GofZdvS0ls,1
307,307,6,vomitgf,2023-02-28 20:16:55+00:00,54,9,0,0,3723.0,"&gt;,..,&lt; im gna fuckin get U",1
314,314,13,nothingonini,2023-02-28 15:09:35+00:00,73,12,1,1,1241.0,WHAJT THE FUCK ARE U DOING KIM JONGIN   CLOSE THAT FUCKIN SHIRT RIFHT NOW https://t.co/WxGZkyZ8yz,1
322,322,21,emofooo,2023-02-28 01:46:31+00:00,69,7,1,2,4828.0,Just paid $9 for a latte u bitches are out of ur fuckin mind,1
323,323,22,calvinsucks,2023-02-28 23:37:41+00:00,2540,10,4,1,30990.0,@sneako @GretaThunberg how u fuckin up donuts in a charger??? sell it before a nigga give you a noogie 🤦🏾‍♂️,0
332,332,31,johnpalitan,2023-02-28 13:51:27+00:00,64,13,2,2,7437.0,"this all fitnah direct to 127zen that the money might be corrupt by chilzen admin won't happen if u just fuckin TAKE PICTURE OF THAT DAMN NOTA
OR u use that canva invoice with REAL PT. for printing and didn't use sticker sign
orang tu panik karena PT nya ga ada di google",1
333,333,32,allieig14,2023-02-27 18:43:15+00:00,57,1,5,0,1886.0,it’s all fun and games having bright dyed hair and facial piercings until u go in public and everyone and their fuckin mom is staring at u like 😟,2
342,342,41,childetwink3848,2023-02-27 17:12:45+00:00,81,14,3,0,1812.0,idk what ur saying but literally no one has ever said childe could solo the archons we just correct u guys whenever u make bullshit abt him being weak n say fuckin diluc is stronger...also yes hes mentally ill war criminal babygirl u r right!,2
349,349,48,brysonals,2023-02-28 01:26:45+00:00,146,2,6,0,1300.0,@Rod1musGames @b4perccs @DyzziDizzy @Finnashleep @JakeSucky nigga cracker isnt a fuckin slur u niggas wanna be victims so bad,0
371,371,70,lebronimusprime,2023-02-28 07:57:15+00:00,109,1,2,0,4408.0,@GODDAMNitsLefty @HoopMixOnly Fuckin hilarious 😂 u think they even match up to kd and them,1
373,373,72,rukanazumi,2023-02-27 17:28:06+00:00,104,3,5,0,5987.0,girl I hope they get a fuckin restraining order on u,1
413,413,0,jfreewright,2023-02-27 15:21:58+00:00,550,121,20,7,64756.0,"Just learned ‘Black Jack’ Pershing was originally called ‘Nigger Jack,’ a nickname given by West Point cadets resentful of his strictness &amp; owing to his fondness for the 10th Cav Buffalo Soldiers he commanded early in his career. Can’t make this stuff up. https://t.co/wcSqKU6DOJ https://t.co/42PapbGRCG",0
416,416,3,begottensun,2023-02-26 08:31:52+00:00,227,27,7,1,14809.0,"I expect REAL “alpha” males to step up &amp; start defending the honour of our daughters, sisters, moms &amp; grand mothers. These runts spewing vitriol contribute nothing to society, and hide behind social media. Hope a real nigger raised by a single mom check these niggas on sight.",0
419,419,0,JelonMusks,2023-02-28 12:17:54+00:00,602,130,44,50,143610.0,They bragging about a “black ass name” but ignoring that white ass daddy 😂😂,0
420,420,1,ANiMalANP,2023-02-28 11:43:49+00:00,63,1,19,2,5703.0,It’s BEEN time for new gloves. Why my white ass palms bruised https://t.co/YCKAxWRRHM,1
421,421,2,CindyKendrick11,2023-02-28 23:40:53+00:00,666,62,39,5,11203.0,"Dear ppl who think they deserve reparations

         👇

KISS MY FUCKING WHITE ASS AND BARK AT THE DIRTY BROWN HOLE!!!

Sincerely,
Sassy Ass 🖕🏻",0
423,423,4,Trumpin_Texan,2023-02-28 12:54:26+00:00,60,9,9,0,962.0,"Mooornin Tweople! I’m gonna try to have a enjoy the day even tho there’s an illegitimate, corrupt, lying, dumb ass, #POS squattin in OUR White House🤬😡🤬😡 #FJB #TRUMP2024ToSaveAmerica https://t.co/KAm3ydBhjV",0
424,424,5,MrsLiviaBenson,2023-02-28 22:44:52+00:00,94,22,7,15,10239.0,"Baby, ERIC MAYS is that NIGGA! I gotta make my way to a Flint City Counsel meeting before they get his ass up outta there 😭😭😭

He Digs into those White Women’s ASSES 💀💀💀 https://t.co/ofCsVjreDd",0
427,427,8,_chloeswain,2023-02-28 23:41:41+00:00,58,5,2,0,9945.0,can y’all wrap up that selena and hailey shit by tonight?! Keep them white ppl off my black ass timeline!,1
428,428,9,cameron_kasky,2023-02-28 15:55:32+00:00,104,4,3,0,8584.0,"“Parkland” is on my trending page so I can only imagine folks are talking about our disastrous Snow White production in 2014 in which I played “King Absent-Minded”

And you bet your ass he was absent-minded, which I’m sure is why they call him that.",1
438,438,19,HugoThePinkCat,2023-02-28 10:41:11+00:00,83,10,6,0,4294.0,"Animals are considered different species when breeding between said species would result in NO offspring or offspring that would automatically be infertile.

Interestingly enough, the EXTREME UNLIKELYHOOD of your lilly-white ass breeding with a black dude WOULDN'T result in that.",0
443,443,24,sloyoroll01973,2023-02-28 04:04:14+00:00,51,6,14,1,1957.0,"I can't think of one Democrat who could seriously beat DeSantis' racist ass in an election if Biden stepped aside. Well, maybe one Gavin Newsom, but he said he's not going to run against Biden. We need to start thinking about this because DeSantis cannot get near the White House.",0
449,449,30,notcapnamerica,2023-02-28 20:49:27+00:00,1165,60,5,3,27511.0,@rahsh33m If it’s one thing Black mamas gone do it’s run your ass down to the white meat only to ultimately do what you asked anyway 😭,0
452,452,33,n0va_v1xen,2023-02-28 15:02:44+00:00,50,1,5,0,1074.0,golf is boring as fuck and clears land areas in large which makes it horrible for the environment and it's mostly rich ass white mfers who play it,1
459,459,40,3rd_eye_MMA,2023-02-28 13:24:44+00:00,51,1,7,0,3091.0,@ideclarefood Pretty ass white girl.   That's the type of snow bunny I need,1
463,463,44,stanpcfl,2023-02-28 16:29:39+00:00,50,12,4,2,799.0,"This guy gets dumber by the hour. President dumb ass. 

Biden ripped for 'I may be a White boy, but I'm not stupid' comment at Black History Month event: 'He is both'

https://t.co/bC3jFhRoLl",0
465,465,46,powpowc41,2023-02-28 17:42:09+00:00,137,0,9,0,3815.0,"@AsGrze @DiscussingFilm Yep, it's that time of the week month where grown ass people cry because a black person is in a movie originally full of white people.  

The horror!!",0
468,468,49,sjs856,2023-02-28 23:44:54+00:00,60,6,6,0,5091.0,You repeat everything white people in MAGA clothes tell you. Cho ass up,0
470,470,51,JasonOverstreet,2023-02-28 19:13:58+00:00,67,11,4,0,2766.0,"Literally your quote: 

“The best advice I would give to white people is to get the hell away from Black people.”

Context, my ass.",0
480,480,61,DeedeeTheLeo,2023-02-28 12:26:36+00:00,103,7,1,1,2662.0,"Please shut ur lying “im a Nicki fan” ass tha fck up. Bey been looking the same for the last 20 years. &amp; ur clearly not a fan because if you were then you would have seen Nicki’s artistic artistry in videos like Hard White, Ganja Burn, DWHAP &amp; more.",0
489,489,70,Coins_Kid,2023-02-28 06:38:04+00:00,93,4,10,1,14401.0,"#xrp / #usd 

We have to see #xrp get it's ass above the wwekly 55 EMA and the white line to confirm the bottom.

Closing below the green line on thr weekly is bearish and could lead to a minimal 20c #xrp price tag CKC.

A move is coming soon. 👀 https://t.co/rybk2Y7Tsy",1
496,496,1,stephanegaddis,2023-02-28 20:47:07+00:00,53,6,3,2,842.0,Joe Biden @potus is a stupid white boy,0
497,497,2,meantweeting1,2023-02-28 20:39:23+00:00,65,54,10,5,2661.0,"Democrats then...

John F Kennedy - ""Ask not what your country can do for you, ask what you can do for your country""

Democrats now...

Joe Biden - ""I may be a White boy, but I'm not stupid"" https://t.co/mHwSmI3aJq",0
500,500,5,mail_american,2023-02-28 20:00:01+00:00,25,4,56,4,1612.0,"Recently, Biden said: “I may be a white boy, but I’m not stupid.” What do you say?",0
