,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,class
11,11,26,Bala17332881,2022-10-24 06:44:34+00:00,303,33,7,0,,"@KhaledBeydoun Here is a challenge for the daring. 

Scream ‘Allah hu Akbar’ in any international airport and report if you notice ISLAMOPHOBIA. 

Dare anyone. Try?",2
13,13,28,baharaksanei,2022-10-24 00:39:27+00:00,229,5,5,1,,@SafaiDarya Their allah is more akbar in their own countries. Why are they in the Netherlands?,2
14,14,30,SaqibSQ,2022-10-25 21:27:33+00:00,159,39,0,0,,@MaddyWithKhan Never seen such scenes ppl saluting their hero kissing the ambulance. Kiss Shaan se Mulk wapis Aaya Hai Hamara Pyara Arshad every eye is crying and Sounds of Allah Hu Akbar. Arshad tere Khoon se Inquilab aaye Ga. @arsched,2
16,16,35,SchlomoJosi,2022-10-24 20:35:35+00:00,668,10,4,1,,"@ModerateMozlems didn't she already leave Islam by this statement alone? This is kufr akbar if not shirk. The decider for your Iman and Shahadah stands and falls with someone else, someone else, who is also in the hands of Allah SWT, like everyone, even the Kafir.",2
22,22,44,junaidrasool910,2022-10-24 13:45:52+00:00,303,12,3,1,,"@waasim_ Is this really him? Subhanallah!

You cannot give guidance to whomsoever you wish, but Allah gives guidance to whomsoever He wills, and He knows best the ones who are on the right path.
- 28:56

Takbeer - Allah-u-Akbar ✊️☝️",2
34,34,68,SchlomoJosi,2022-10-24 20:36:35+00:00,215,2,2,0,,"@ModerateMozlems so bascially she says she makes it up to Andrew Tate or other Muslims, if she keeps believing in Allah and his final messenger. For me this is kufr akbar. She essentially says, if Allah lets xy happen, she leaves Islam. Since nothing happens without his will.",2
36,36,72,RajeswariAiyer,2022-10-22 02:46:15+00:00,135,56,1,1,,"were shouting “le kar rahenge Pakistan” “nara a taqrir allah hu akbar”
Though Kolkata was Hindu majority but most of Hindus were educated &amp; were not ready for this attack. Till 20th August they kept killing. How many Hindus were killed, how many women were raped no one knows",2
39,39,80,Bob_cart124,2022-10-23 20:56:40+00:00,67,14,7,0,,Not sure what this was all about from Holland but the fact that these guys angered Islamophobe Geert Wilders by simply saying Allah hu Akbar seems like a job well done to me.,2
74,74,0,Ms___MSN,2022-10-23 11:26:53+00:00,54,6,4,3,,How do you expect your boyfriend who failed geography from Grade 8-12 to locate your G-spot. Nigger failed to locate a place on a map already.😌😌🤦‍♀️,0
99,99,1,jillwebb2005,2022-10-26 06:05:33+00:00,161,16,9,1,,"Sup up your beer and collect your fags
There's a row going on down near Slough…

OTD in 1979 The Eton Rifles by The Jam was released. 

This thundering, hard-hitting masterpiece was backed by the power pop sound of See Saw. What a combination!

#WellerWednesday 
📷 1 Adrian Boot https://t.co/ZQkMGy08uI",2
150,150,16,summerofgay05,2022-10-26 02:38:37+00:00,69,3,2,0,,Chris i dont have a dad and i got called a faggot today,0
158,158,0,vyrthandi,2022-10-24 01:21:41+00:00,1597,147,23,28,,"male socialization was when Dad beat me for no reason in particular (being a girl) (faggot) (derogatory) but not my sister (cishet) (manipulative)

it's fine. she's two years younger, but looks older than me and TIRED, and i'm so much prettier than her

this. this is my revenge.",1
176,176,0,finaIspace,2022-10-24 20:08:41+00:00,336,66,13,2,,The amount of flattery from Macaque in this scene was actually so unnecessary because he easily could have just swiped the ring from right under Tang’s nose but Nooooo he was like “Let me go sweet-talk this man while I have some time to spare 🤭” like a fucking queer… https://t.co/38qqaNeU3w,1
181,181,20,zagmegthan,2022-10-23 13:29:10+00:00,64,10,0,1,,"not only is this a disservice to lestat as a character, but it’s also so important to recognize how much damage this has done to the amazing representation that is louis. to have put a queer black man in such a situation is very fucking gross.",0
185,185,27,gayoldttea,2022-10-22 13:59:05+00:00,64,6,0,0,,taylor did not dedicate a whole era to being against homophobia for y’all to STILL harass her fans for noticing clear queer references in her music. it’s fucking ridiculous,0
186,186,28,fubroshi,2022-10-25 18:45:24+00:00,260,28,2,0,,"Religion doesn't force you to hate. As a devoutly religious queer man I find any insinuation otherwise to be fucking laughable. You become a bitter, awful person on your own and you will suffer for it on your own. Take some personal responsibility.",0
189,189,33,lesbiaudrey,2022-10-26 23:24:16+00:00,275,33,14,1,,"sorry but ""grieving man in avengers endgame"" being touted as proof that disney isn't homophobic and actually has done a lot for queer people is fucking hilarious

to quote russell t davies, what a craven feeble gesture lol",0
193,193,39,EsmeMarion,2022-10-22 16:43:46+00:00,61,12,1,0,,"life advice of the day: if you can't handle having a child that is disabled or queer, don't have a fucking child",0
194,194,40,angeIsueshi,2022-10-22 05:29:18+00:00,297,30,2,6,,now that i have the ability to process a thought. harry captured so many aspects of queer struggles SO FUCKING WELL like the guilt and the confusion and the fear yeah he got it like,1
195,195,41,EmoFoucault,2022-10-25 03:10:43+00:00,118,10,5,2,,"William, you’re the only person I imagine capable of taking a discourse about fucking QUEER HISTORICAL ERASURE and using it to violently delegitimize the work of a gay man who died in the early years of the AIDS crisis.",0
196,196,42,A_hungry_Fool,2022-10-24 16:00:10+00:00,132,14,3,0,,"Jesus fucking Christ 🤮

Nobody - but especially a fucking straight woman, who’s a transphobe - should try to tell people what to call themselves, but this ridiculous shit is both ignoring the history of people reclaiming queer and gay being used as a prerogative term too",0
198,198,45,diligentcircle,2022-10-23 01:35:24+00:00,63,13,1,1,,"Apparently racism leading to the queer community being hostile to Black people doesn't ""actually matter right now"".

Right, of course, let's just throw the most marginalized and vulnerable queer people under the bus for a fucking Twitch streamer. /s",0
201,201,48,fortune__cat,2022-10-23 17:47:09+00:00,93,7,6,0,,Ppl see a loud and unapologetically cringe and queer person online and decide to turn into fucking Regina George. literally get a hold of urself. Ur ableism and internalizing homophobia/transphobia is showing.,0
202,202,49,AlyseG18,2022-10-24 18:12:18+00:00,269,9,1,0,,"@iilluminaughtii Queer person here, I'm fucking offended!  The BIG difference is CONSENT!!! 2 men can CONSENT, 2 women can CONSENT, trans people can CONSENT, a massive mixed gender organization of adults CAN CONSENT. Minors CANT CONSENT!!!",0
203,203,50,clairewillett,2022-10-25 16:07:22+00:00,165,16,1,0,,"I'm thinking a lot about the loss of Leslie Jordan in the world just as a person who truly became an avatar for queer joy

just the full-out, fucking unapologetic glow of self-love from someone who had been through the shit and came out of it with his spirit intact",1
206,206,58,RottenInDenmark,2022-10-23 21:31:35+00:00,99,1,1,0,,"@SababaUSA No! I actually mostly use ""gay"" just because I'm An Old and it's what I'm used to. No one has ever said or even implied that I should change how I self-identify. 
And I don't tell people not to use ""queer"" because I'm not a giant fucking asshole!",1
208,208,65,vaspider,2022-10-26 07:43:14+00:00,61,10,0,2,,"There's been as much hate in ""you people"" as anything else I've ever had spit at me.

Of *course* queer is a slur. That's why it fucking matters that *we* hold the handle and *we* point the blade.

Every word for us has edges on it. Every word for us made someone bleed.",1
215,215,3,thaboyzmom3,2022-10-26 06:32:27+00:00,531,203,13,69,,"When u done with a nigga 😩his come back don’t be no money ,house ,bigger plans  NOTHING but a baby or another bitch or more problems 🏌🏽 and then he try ask for another chance 😮‍💨😂😂😂😂😂",1
236,236,4,monkey_reg,2022-10-22 05:38:06+00:00,71,4,5,0,,"Grandma got run over by a reindeer is a tacky, tasteless song. white trash anthem tbh

Sorry Christmas supporters you gotta own that one",0
237,237,6,gregcodori,2022-10-26 06:17:18+00:00,169,2,9,0,,"@notcapnamerica It's always the platinum blonde who's on the chubby side and have a white-trash valley-girl attitude.  Yuck, I feel the need to shower now (with a hand towel).  Gross",0
239,239,10,stavvybaby,2022-10-22 18:13:51+00:00,193,3,13,0,,"Boston I love ya!!! Adding a THIRD show at the Wilbur in Feb!! Go get ur tix at https://t.co/rIsd8QT4XJ 

The patriots never cheated!! Jason tatum isn’t overrated!!! I don’t find your city to be a mix of limp wristed snobs and atrocious white trash!!! https://t.co/0yvt9R3Smu",0
242,242,19,BlakkBile,2022-10-24 15:19:12+00:00,57,0,1,0,,"I'm not like those disgusting white trash born again evangelicals; I'm a Catholic, so I think it was a divine vision from *Mary* that I received during the profound crisis in my life that precipitated my dramatic adult conversion/reversion",0
280,280,0,iTzRease,2022-10-23 16:38:06+00:00,333,28,14,5,,"This nigga tried to fuck your bitch, spend your money, made you kill a nigga to save him acting like he was your best friend… https://t.co/rsL0o2ogwl",1
281,281,1,Yuno_Mal,2022-10-22 18:32:47+00:00,1089,14,5,0,,@ib_2cute Nigga done made Ice Spice in that bitch 😂,1
288,288,21,DeanteVH,2022-10-25 01:37:30+00:00,55,1,10,1,,It’s still folk on dis bitch wit BETTER pfp’s. That shit crazy to me. Niggas really made an album that folks still playing and living with 2 years later.,1
325,325,0,nugoffapercc,2022-10-23 18:28:57+00:00,73,3,5,1,,"fuck the talking stage, are u obsessed w me or not?",1
328,328,14,szhendada,2022-10-24 02:10:35+00:00,983,135,4,0,,"I like to think that at one point, #joongdok went:
Kimcom: *talking abt incoming scenario*

Kdj:*looks at YJH* fuck me if I'm wrong but—

YJH: u're wrong.

Kimcom:

YSA: ah yes. U're wrong dokja-ssi.

KDJ: huh? I didn't even—

HSY: wrong. That's it.

KDJ: what

JHW and LSH: wrong",2
329,329,18,nunoaires,2022-10-25 13:32:02+00:00,52,10,3,2,,"U can fuck with everyone u want but u can't never fuck with the jews!!!!

Nigga has been talking shit about black people for so long and a minute after he touch the jews.. gone!🤣",0
388,388,1,loubbydoo,2022-10-25 21:26:35+00:00,417,43,15,6,,why did t make me so obsessed w men what is the science behind it i swear i turn into more of a fag every day,0
390,390,4,lizduckchong,2022-10-24 03:32:56+00:00,216,31,2,0,,in light of discovering that queer is a slur (for which i am very sorry for using) i will from now on be using the entirely unproblematic self-descriptor 'fag'.,0
392,392,6,nomoremister,2022-10-24 01:01:03+00:00,83,14,7,0,,"For Republicans, ""Marxist"" is just a catchall insult that means ""person I don't like."" It has nothing to do with the economic theory. It's basically what ""fag"" was when I was in high school. https://t.co/pxLy8eYyJk",0
395,395,15,NikaMelkozerova,2022-10-23 15:59:52+00:00,618,35,83,4,,"Meanwhile Ukrainian soldiers debating harshly about whether it is appropriate to call Russians fags. While Ukrainian soldiers claim that word is not associated with gay men to them therefore they can use it as a bad word, many Ukrainians claim it is still homophobic. 👇",2
405,405,2,vyrthandi,2022-10-24 01:21:41+00:00,1597,147,23,28,,"male socialization was when Dad beat me for no reason in particular (being a girl) (faggot) (derogatory) but not my sister (cishet) (manipulative)

it's fine. she's two years younger, but looks older than me and TIRED, and i'm so much prettier than her

this. this is my revenge.",1
411,411,11,MxVivianWulf,2022-10-24 14:07:45+00:00,139,14,3,0,,"Vile piece of sht using one of the oldest transphobic tropes in the book. 

Comparing a real life trans person to a fictional serial killer.

Just another inventive way to call her a ""perverted tranny faggot"". Always. Everything these people say is just them screaming slurs. https://t.co/EjyRoVzFIk",0
419,419,4,JustFollowJesh,2022-10-23 23:18:49+00:00,80,29,4,0,,Calling me a nigger is anti semitic.,0
451,451,27,stairedblanket,2022-10-26 02:46:16+00:00,135,0,1,0,,"@badnaomibad - supports desantis's right to ""sound like a faggot""",0
495,495,8,stavvybaby,2022-10-22 18:13:51+00:00,193,3,13,0,,"Boston I love ya!!! Adding a THIRD show at the Wilbur in Feb!! Go get ur tix at https://t.co/rIsd8QT4XJ 

The patriots never cheated!! Jason tatum isn’t overrated!!! I don’t find your city to be a mix of limp wristed snobs and atrocious white trash!!! https://t.co/0yvt9R3Smu",0
524,524,72,BardiaToreihi,2022-10-25 13:31:29+00:00,56,0,0,0,,"@abdoozRM @totalBarca I get your point. We’ve been receiving lots of favours from the refs this season. Like the penalties we received from the Bayern, Inter, Rayo, Athletic and of course that white trash team game!😏",0
588,588,0,loubbydoo,2022-10-25 21:26:35+00:00,417,43,15,6,,why did t make me so obsessed w men what is the science behind it i swear i turn into more of a fag every day,0
589,589,2,jillwebb2005,2022-10-26 06:05:33+00:00,161,16,9,1,,"Sup up your beer and collect your fags
There's a row going on down near Slough…

OTD in 1979 The Eton Rifles by The Jam was released. 

This thundering, hard-hitting masterpiece was backed by the power pop sound of See Saw. What a combination!

#WellerWednesday 
📷 1 Adrian Boot https://t.co/ZQkMGy08uI",2
590,590,4,nomoremister,2022-10-24 01:01:03+00:00,83,14,7,0,,"For Republicans, ""Marxist"" is just a catchall insult that means ""person I don't like."" It has nothing to do with the economic theory. It's basically what ""fag"" was when I was in high school. https://t.co/pxLy8eYyJk",0
596,596,14,timothy_stanley,2022-10-23 10:49:33+00:00,556,25,42,4,,"BTW, I'm not saying those MPs are being rude. They're nervous and they're worried that if they give you any hint of what they're going to say, you'll use it against them. Everyone lightens up afterwards. Paddy Ashdown insisted I join him for a fag in the car park.",0
603,603,0,blizzy_mcguire,2022-10-25 00:32:05+00:00,4312,313,12,18,,me in the corner wondering where the weird white bitch in a denim skirt is that i hear everyone talking about https://t.co/tNSIgZDFRu,1
604,604,1,IggyAzclea,2022-10-26 02:33:11+00:00,251,25,3,3,,BADDEST WHITE BITCH IN THE GAME https://t.co/S2RvfsLgYW,1
605,605,2,lilkjay12,2022-10-22 00:11:33+00:00,3203,641,34,162,,niggas who fw white bitches gotta be at they lowest point in life,1
608,608,9,KingRaleigh919,2022-10-24 13:54:51+00:00,51,22,1,14,,I don’t think anyone in this son of bitch was really Japanese but drunk or sober they had some of the best hibachi in North Carolina. The white sauce was creamy like your hoes box ! #PembrokeHistory #HomecomingWeek #TeamUNCP #UNCP https://t.co/oOJHrT10r6,1
609,609,11,notwhatshrisaid,2022-10-24 18:33:36+00:00,59,1,8,0,,Bitch I posted a bunch of pictures on ig and I just noticed this one mf’n white ass hair erected on my head like 😭😭😭 in all the freaking pictures 😭😭😭 https://t.co/9l7PDVILuF,1
611,611,15,Queerfunkmusic,2022-10-24 06:02:10+00:00,447,23,15,3,,"@GailSimone #70%terrible facebook. Great way to keep in touch with friends, terrible for society, terrible for women, terrible for black people, white guys trolling black people so often the algorithm feeds them black content that they then bitch about. (cont)",1
638,638,8,gregcodori,2022-10-26 06:17:18+00:00,168,2,9,0,,"@notcapnamerica It's always the platinum blonde who's on the chubby side and have a white-trash valley-girl attitude.  Yuck, I feel the need to shower now (with a hand towel).  Gross",0
639,639,10,stavvybaby,2022-10-22 18:13:51+00:00,193,3,13,0,,"Boston I love ya!!! Adding a THIRD show at the Wilbur in Feb!! Go get ur tix at https://t.co/rIsd8QT4XJ 

The patriots never cheated!! Jason tatum isn’t overrated!!! I don’t find your city to be a mix of limp wristed snobs and atrocious white trash!!! https://t.co/0yvt9R3Smu",0
647,647,40,ProgressiveTex,2022-10-25 13:19:04+00:00,61,53,5,3,,"Republicans have no policies or ideas. White trash is in the minority so they resort to violence… like these armed ballot box thugs in Arizona. Don’t be intimidated, cast your vote. Don’t let fascists and racists win. #DemVoice1 #ProudBlue22  https://t.co/ULkWzdr75m",0
675,675,5,Ms___MSN,2022-10-23 11:26:53+00:00,54,6,4,3,,How do you expect your boyfriend who failed geography from Grade 8-12 to locate your G-spot. Nigger failed to locate a place on a map already.😌😌🤦‍♀️,0
704,704,49,JordanXJenkins,2022-10-26 06:55:32+00:00,122,0,4,0,,"&gt;Playing MW2 2009
&gt;Random calls me a nigger because of my GT
&gt;tell him to go k*ll himself
&gt;he says that’s not cool to say and that’s how his brother died
&gt;I tell him “well maybe you should take his advice huh?”
&gt;*Random has left the game*",0
727,727,56,Esqueer_,2022-10-23 13:51:37+00:00,215,5,7,3,,@emexdizzy This happens a lot. I'm constantly called white and told I'm not really a person of color. The fascists know I'm not white when they're sending me death threats calling me a spic and praising genocide.,0
746,746,15,PierreSmith1987,2022-10-25 22:25:38+00:00,323,10,1,1,,@TeeChereaa My brother first of all. I’m not gone 🧢 black women keep they bodies clean. But fuck wit who you wanna fuck wit tho. I’m marrying a black woman.,1
747,747,29,Cole11121,2022-10-26 16:40:29+00:00,128,2,9,1,,shit is not no bipolar bro he does NOT FUCK WIT YOU *CLEARLY*,1
775,775,0,iTzRease,2022-10-23 16:38:06+00:00,333,28,14,5,,"This nigga tried to fuck your bitch, spend your money, made you kill a nigga to save him acting like he was your best friend… https://t.co/rsL0o2ogwl",1
813,813,6,crackcobain__,2022-10-23 21:05:41+00:00,14280,746,30,10,,“You don’t know the situation”  in no situation should you be pistol whipping a woman … yall niggas try to sound tuff and just come off lame as hell,0
823,823,26,tobifromsg,2022-10-23 20:40:15+00:00,109,1,0,0,,@BinReapa @gaiiajai @332sanctioned Nigga wanna talk bout bread n shit you corny as hell you said you started laughing after he took the vape meaning you thought it was funny you lame as hell am I hope you ain’t got a sister,1
881,881,24,Dr_DownBad,2022-10-23 18:06:08+00:00,78,2,1,0,,@tize4PF Dream facetimed me and called me a wetback,0
916,916,0,shaTIRED,2022-10-25 12:28:36+00:00,2269,384,15,17,,we share community with mfs who see a white person performing adequately at best in a crowd full of Black people performing 3x better and start clapping like fucking monkeys over the white person. y’all think someone else is going to move for antiblackness? 😭,0
917,917,1,EliotHiggins,2022-10-24 12:16:30+00:00,2237,1141,49,118,,"So to give you a sense of how full of shit the Russians are, the top left image on the first slide is from a Syrian film production of a movie about the White Helmets faking chemical attacks, stills from which Russia previously used in their propaganda.
https://t.co/NaTBITN7K6 https://t.co/4LdBrNQFgC",1
918,918,5,nonumpty,2022-10-25 20:08:40+00:00,219,12,2,0,,"@CalltoActivism ""If Heaven is going to be full of white evangelicals, I'll take my chances on Hell."" (Bishop Talbert Swan) https://t.co/mwgM2ZW04V",2
920,920,9,nellodee,2022-10-24 19:00:31+00:00,240,18,6,1,,"I don’t think most people even see how patronizing, belittling, &amp; full of white savior/oriental mentality the mere concept of a “China expert” is. Claiming such a title, displaying it proudly on yr resume, should be an automatic disqualifier of any/all opinions you hold on China.",2
924,924,14,WordzMa,2022-10-25 11:06:22+00:00,112,19,0,2,,"""In this life of sin, all I need is my girl and my weed
501 jeans, A1’s, white Tee
Mean bucket and pocket full of dough Like Hov in ’01""😤🔥",1
927,927,19,BondyBlue,2022-10-24 01:25:03+00:00,348,31,14,3,,Wendy may have been full of it but Robyn was really walking up on Wendy like she wanted to hit her. I guess she is still mad at Wendy for wearing her ass out in that one scene last season when Robyn was white lady wasted patting her cooch. #rhop,1
928,928,21,tina_porkskins,2022-10-25 04:26:57+00:00,233,4,9,1,,"@oranicuhh How…not surprising that these responses are full of people talking about the ‘power’ of Jews, which is of course thinly veiled antisemitism. Not all Jews are white. And plenty of antisemites are white.",0
932,932,27,Delafina777,2022-10-25 17:18:31+00:00,214,29,6,0,,"I need other white Jews to stop claiming there’s “silence” from Black people on the antisemitism fallout from Kanye. My feed is FULL of Black people calling it out. 

If you don’t want to feel alone in this, all you have to do is listen.",0
937,937,36,AoDespair,2022-10-22 05:21:13+00:00,227,6,5,5,,"You absolute shitsquib. I'm saying that Baltimore is decidedly unsafe for its citizens who are people of color, but that the assholic Lords of White Victimhood on this site who want to insist that urban violence targets them are simply and statistically full of shit. As are you.",0
940,940,41,plantmoretreez,2022-10-24 19:22:21+00:00,59,5,1,0,,"@DrewPavlou A White person who has never been China, doesn't read or write Chinese, harasses Chinese people, is talking about Chinese people to a room full of White people. 😑 https://t.co/OXldNZps7e",0
948,948,59,Olas_Truth,2022-10-23 23:20:40+00:00,80,21,4,1,,"Madonna’s IG captions and images are full of racism. This is a picture of her adopted African kids massaging her feet.  I don’t see images of her non-Black children in a demeaning way. 

Except when her 13-year-old white son was boxing, she captioned the pic with, “dis nigga.” https://t.co/vINEQypvfr",0
963,963,85,Ant4316,2022-10-23 18:44:42+00:00,145,14,3,1,,@Jay__Sim @Kennymack1971 There is a warm welcome and hand full of $ for black men willing to rent themselves out to white nationalist. They are usually also filled with insecurity and bitterness against their own women for being bread winners and more educated. It’s meant to split black voters M vs FM,2
969,969,5,crackcobain__,2022-10-23 21:05:41+00:00,14280,746,30,10,,“You don’t know the situation”  in no situation should you be pistol whipping a woman … yall niggas try to sound tuff and just come off lame as hell,0
981,981,27,tobifromsg,2022-10-23 20:40:15+00:00,109,1,0,0,,@BinReapa @gaiiajai @332sanctioned Nigga wanna talk bout bread n shit you corny as hell you said you started laughing after he took the vape meaning you thought it was funny you lame as hell am I hope you ain’t got a sister,1
1012,1012,6,crackcobain__,2022-10-23 21:05:41+00:00,14280,746,30,10,,“You don’t know the situation”  in no situation should you be pistol whipping a woman … yall niggas try to sound tuff and just come off lame as hell,0
1025,1025,30,tobifromsg,2022-10-23 20:40:15+00:00,109,1,0,0,,@BinReapa @gaiiajai @332sanctioned Nigga wanna talk bout bread n shit you corny as hell you said you started laughing after he took the vape meaning you thought it was funny you lame as hell am I hope you ain’t got a sister,1
1056,1056,0,wizkhalifa,2022-10-23 17:23:46+00:00,3196,441,89,54,,All that jewelry goin outta style. Niggas feel lame wit out it anyway. Says a lot,0
1080,1080,0,zinggle2moo,2022-10-26 01:42:37+00:00,731,223,5,26,,I just saw a moo say that the moobong is lame 😭 if you share the same opinion please look and behold the brightest bitch in all lightstick land 😤https://t.co/msXiZP2ekB,1
1082,1082,5,ouijv,2022-10-22 21:08:24+00:00,113,12,16,0,,Growing up me and my homies called each other juffs when somebody did some lame shit… nobody cried… those were the days. Lotta pussies in da scene now but it’s ok. There’s no rule that says  being a crybaby bitch makes you less Juggalo. Whoop Whoop!!!,1
1121,1121,73,YxngRamiel,2022-10-23 20:44:44+00:00,175,0,2,0,,"@postergurI @crackcobain__ i mean,AND I MEAN what the fuck are you talking abt,its alr bad bro getting jumped by sum lame ass goodies and PISTOL WHIPPING A GIRL is od asfff,no matter if the bitch white or not bruh💀tf u on abt https://t.co/w5uR79qDW5",1
1122,1122,3,PierreSmith1987,2022-10-25 22:25:38+00:00,323,10,1,1,,@TeeChereaa My brother first of all. I’m not gone 🧢 black women keep they bodies clean. But fuck wit who you wanna fuck wit tho. I’m marrying a black woman.,1
1123,1123,5,ryai45411,2022-10-22 05:56:31+00:00,86,32,31,0,,If a Mf give you an almond joy on Halloween they simply don’t fuck wit you,1
1126,1126,12,SpiritWasTaken,2022-10-26 03:14:56+00:00,275,6,8,0,,@frin29840451 @ufwjoey @strbrkrr @pradaliko You cannot be a real person bro.. the unbelievably edgy naruto pfp wit the Light Yagami ass articulation of sentences. And to top it off you got your Twitter bio as “Fuck Off.” Who engineered you?,1
1161,1161,76,prettynerdthing,2022-10-22 12:36:32+00:00,153,32,1,1,,@lashondadanae0 Take this from a loner… don’t force yourself into a circle that don’t want you. Either you learn to do things on your own and naturally meet people that really fucks wit u or just be alone.,1
1194,1194,16,Emberflux,2022-10-26 22:28:13+00:00,52,0,0,0,,"""not as reactionary"" babe you called me a chink",0
1195,1195,19,AnneHatfieldVO,2022-10-24 23:43:53+00:00,80,44,1,1,,"All these bitter people creating virtual gangs, virtual lovers, virtual enemies, virtual power. I saw a chink in the armor and it pleased me.",0
1210,1210,60,JMaguireCritic,2022-10-25 11:49:14+00:00,118,2,1,0,,@BethRigby First chink of light from the UK in six years,0
1249,1249,13,Emberflux,2022-10-26 22:28:13+00:00,52,0,0,0,,"""not as reactionary"" babe you called me a chink",0
1252,1252,17,AnneHatfieldVO,2022-10-24 23:43:53+00:00,80,44,1,1,,"All these bitter people creating virtual gangs, virtual lovers, virtual enemies, virtual power. I saw a chink in the armor and it pleased me.",0
1260,1260,44,JMaguireCritic,2022-10-25 11:49:14+00:00,118,2,1,0,,@BethRigby First chink of light from the UK in six years,0
1271,1271,0,CoolBoxArt,2022-10-24 21:00:14+00:00,359,42,10,9,,Butt Ugly Martians: Zoom or Doom! / PlayStation 2 / Runecraft / 2002 https://t.co/mOYmxsNyej,2
1272,1272,1,gemmygemg,2022-10-23 19:47:16+00:00,626,55,33,47,,I know we like to make fun of butt chins but I’ve legitimately never seen an ugly person with a butt chin? Idk it accentuates their face and it’s so cute😭 https://t.co/tC6sptrAFD,2
1273,1273,2,AndreaD29836790,2022-10-22 20:50:55+00:00,106,15,18,4,,"I just LOVE that our Queen is still whopping MeGains ugly butt even from beyond the grave:
""Her Majesty made the point that she and Meghan were not and would never be close!” https://t.co/zsHRoH998K",2
1283,1283,15,SEBUTHEWORLD,2022-10-26 20:40:54+00:00,86,4,4,1,,using picrews as reaction images ouuuuu i know you butt ass ugly,1
1285,1285,18,MaggieMaeboston,2022-10-24 04:02:32+00:00,102,0,6,1,,@UchihaAquarius @standwithamberr @resilientheard I went to her ig and said something. I may or may not have called her trash and her bf “butt ugly.” I don’t remember.,2
1294,1294,31,HCottawa,2022-10-25 10:05:48+00:00,76,0,1,0,,@notcapnamerica Finally I can stop seeing those butt ugly shoes.,2
1295,1295,33,2Strong2Silence,2022-10-22 21:22:36+00:00,74,5,1,0,,@ImSydneyA They also showed me they weren’t interested in tackling Anti-Blackness when they rallied behind a crappy comedian who made a black woman the butt of an ugly joke at The Oscars. Oh the joke was likely written by someone white.,0
1332,1332,3,AnneHatfieldVO,2022-10-24 23:43:53+00:00,80,44,1,1,,"All these bitter people creating virtual gangs, virtual lovers, virtual enemies, virtual power. I saw a chink in the armor and it pleased me.",0
